Tweet_ID,Time,,,,,,,,,,,,,,,,,,
TID8747,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6905,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6298,3:00 PM/2:00 PM,,,,,,,,,,,,,,,,,,
TID7326,3:00 PM/2:00 PM,,,,,,,,,,,,,,,,,,
TID9005,3:00 PM/2:00 PM,,,,,,,,,,,,,,,,,,
TID8499,3:00 PM/6:00 PM,,,,,,,,,,,,,,,,,,
TID1751,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3613,3:00 PM/8:00 PM,,,,,,,,,,,,,,,,,,
TID9588,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID8348,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID2789,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID9121,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID2397,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID4090,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID7500,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID8718,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID4152,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3529,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID9641,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6621,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6995,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID1947,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID8747,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID9585,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID7333,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID5722,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID8885,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID2212,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6554,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3873,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID1523,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID6610,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3659,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3727,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID4804,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID3218,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID9501,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
TID9042,3:00 PM/5:00 PM,,,,,,,,,,,,,,,,,,
